시도,주차장명,주차장유형,주소,위도,경도,관리기관,전화번호(주차장관리자),추가 연락처,20.09.30.(수),20.10.01.(목),20.10.02.(금),20.10.03.(토),20.10.04.(일),특이사항
부산광역시,부산광역시청 및 부산지방경찰청,부설,부산광역시 연제구 중앙대로1001,35.179928,129.07509,부산광역시청,051-888-1867,,종일 개방,종일 개방,종일 개방,종일 개방,00:00~24:00,
부산광역시,영도상수도사업소,부설,부산광역시 영도구 상수도길 10,35.091758,129.048253,영도상수도사업소,051-669-5101,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,차단기 있음
부산광역시,영도어린이영어도서관,부설,부산광역시 영도구 절영로 71,35.088493,129.039118,영도어린이영어도서관,051-419-5671,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,영도구청,부설,부산광역시 영도구 태종로 423,35.090821,129.06772,영도구청,051-419-4221,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,차단기 있음
부산광역시,문화예술회관,부설,부산광역시 영도구 함지로79번길 6,35.075563,129.066,문화예술회관,051-419-5561,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,한국해양수산연수원,부설,부산광역시 영도구 해양로 367,35.080951,129.079148,한국해양수산연수원,051-620-5573,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,차단기 있음
부산광역시,해양환경교육원,부설,부산광역시 영도구 해양로301번길 23,35.07985,129.078229,해양환경개발연구원,051-400-7700,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,자갈치시장 앞,노상,부산광역시 중구 남포동4가 37-2,35.097025,129.031491,중구청,051-600-4556,,21:00~10:00,종일 개방,21:00~10:00,21:00~10:00,21:00~10:00,추석 당일(1일)만 종일 무료 개방
부산광역시,건어물시장,노상,부산광역시 중구 남포동4가 37-3,35.097468,129.032549,중구청,051-600-4556,,19:00~08:00,종일 개방,19:00~08:00,19:00~08:00,19:00~08:00,추석 당일(1일)만 종일 무료 개방
부산광역시,신한은행 부산금융센터뒤,노상,부산광역시 중구 동광동1가 2,35.099332,129.035644,중구청,051-600-4556,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,부산데파트뒤,노상,부산광역시 중구 동광동1가 50,35.098973,129.035901,중구청,051-600-4556,,종일 개방,종일 개방,종일 개방,종일 개방,20:00~09:00,
부산광역시,광복로 부평동구간,노상,부산광역시 중구 부평동1가 51-1,35.099496,129.026542,중구청,051-600-4556,,21:00~10:00,21:00~10:00,21:00~10:00,21:00~10:00,21:00~10:00,
부산광역시,보수 복개천,노상,부산광역시 중구 부평동3가 80,35.101127,129.022681,중구청,051-600-4556,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,국제시장로1구간,노상,부산광역시 중구 신창동4가 56-4,35.100661,129.027872,중구청,051-600-4556,,21:00~10:00,종일 개방,21:00~10:00,21:00~10:00,21:00~10:00,추석 당일(1일)만 종일 무료 개방
부산광역시,부산우체국뒤,노상,부산광역시 중구 중앙동3가 20,35.103077,129.035654,중구청,051-600-4556,,종일 개방,종일 개방,종일 개방,종일 개방,20:00~09:00,
부산광역시,중앙동 유창빌딩앞,노상,부산광역시 중구 중앙동4가 26-3,35.104157,129.036704,중구청,051-600-4556,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,중앙동 교보생명옆,노상,부산광역시 중구 중앙동4가 91,35.106101,129.036968,중구청,051-600-4556,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,중부소방서뒤,노상,부산광역시 중구 중앙동4가 91,35.107569,129.037068,중구청,051-600-4556,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,중앙동객화차담 밑,노상,부산광역시 중구 중앙동4가 91,35.108818,129.038892,중구청,051-600-4556,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,중앙동 마린센터,노상,부산광역시 중구 중앙동4가 91,35.109734,129.03861,중구청,051-600-4556,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,중앙동 KT뒤,노상,부산광역시 중구 중앙동4가 91,35.109227,129.037713,중구청,051-600-4556,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,중앙동 국제회관옆,노상,부산광역시 중구 중앙동6가 9-1,35.100273,129.037222,중구청,051-600-4556,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,해운대인문학도서관,부설,부산광역시 해운대구 반여로 132,35.202207,129.126208,해운대인문학도서관,051-749-6580,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,반여4동 주민센터,부설,부산광역시 해운대구 삼어로133번길 50,35.2092498,129.114912,반여4동 주민센터,051-749-5931,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,"전기차1, 장애인1"
부산광역시,반여1동 주민센터,부설,부산광역시 해운대구 선수촌로85,35.2011501,129.116761,반여1동 주민센터,051-749-5901,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,반송2동 주민센터,부설,부산광역시 해운대구 신반송로 173,35.2288319,129.158235,반송2동 주민센터,051-749-5951,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,10면이나 공간 협소
부산광역시,부산지방법원 동부지원,부설,부산광역시 해운대구 재반로 112번길 20,35.1885412,129.126643,부산지방법원 동부지원,051-780-1114,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,반여2동 주민센터,부설,부산광역시 해운대구 재반로211번길 9,35.1961305,129.12894,반여2동 주민센터,051-749-5911,,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,주간만 이용가능
부산광역시,좌4동 주민센터,부설,부산광역시 해운대구 좌동순환로 183,35.1778862,129.17406,좌4동 주민센터,051-749-5881,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,"전기차1, 장애인1"
부산광역시,좌2동 주민센터,부설,부산광역시 해운대구 좌동순환로 302,35.1691143,129.18042,좌2동 주민센터,051-749-5861,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,중2동 주민센터,부설,부산광역시 해운대구 좌동순환로433번길 34,35.1626008,129.16774,중2동 주민센터,051-749-5841,,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,"전기차1, 장애인2"
부산광역시,우2동 주민센터,부설,부산광역시 해운대구 해운대로383번가길 7,35.171221,129.140031,우2동 주민센터,051-749-5821,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,재송어린이도서관,부설,부산광역시 해운대구 해운대로76번길 35-1,35.189717,129.118453,재송어린이도서관,051-749-7631,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,수영만요트경기장,부설,부산광역시 해운대구 해운대해변로 52,35.159033,129.14231,수영만요트경기장,051-741-6440,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,부산영화촬영스튜디오,부설,부산광역시 해운대구 해운대해변로 52,35.162636,129.138238,부산영화촬영스튜디오,051-720-0323,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,해운대구보건소,부설,부산광역시 해운대구 양운로37번길 59,35.1641139,129.1786601,해운대구보건소,051-749-7504,,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,
